accM17_0 =  0.27979 +/- 0.018686 L(0 - 10) 
accM17_1 =  0.48103 +/- 0.026105 L(0 - 10) 
accM17_2 =  0.71885 +/- 0.020938 L(0 - 10) 
accM17_3 =  1.0235 +/- 0.053973 L(0 - 10) 
accM17_4 =  1.0000 +/- 0.044370 C L(0 - 10) 
accM17_5 =  0.99820 +/- 0.051130 L(0 - 10) 
accM17_6 =  1.1391 +/- 0.066491 L(0 - 10) 
accM17_7 =  0.86805 +/- 0.10224 L(0 - 10) 
accM17_8 =  1.0829 +/- 0.072214 L(0 - 10) 
accD17_0 =  0.30080 +/- 0.023170 L(0 - 10) 
accD17_1 =  0.50312 +/- 0.031887 L(0 - 10) 
accD17_2 =  0.71557 +/- 0.024889 L(0 - 10) 
accD17_3 =  0.98769 +/- 0.062992 L(0 - 10) 
accD17_4 =  1.0000 +/- 0.053271 C L(0 - 10) 
accD17_5 =  0.95892 +/- 0.058899 L(0 - 10) 
accD17_6 =  1.1137 +/- 0.076673 L(0 - 10) 
accD17_7 =  0.81376 +/- 0.11533 L(0 - 10) 
accD17_8 =  1.0279 +/- 0.081181 L(0 - 10) 
accR17_0 =  0.59132 +/- 0.039361 L(0 - 10) 
accR17_1 =  0.71744 +/- 0.041738 L(0 - 10) 
accR17_2 =  0.81732 +/- 0.026881 L(0 - 10) 
accR17_3 =  1.0097 +/- 0.061841 L(0 - 10) 
accR17_4 =  1.0000 +/- 0.040116 C L(0 - 10) 
accR17_5 =  0.95883 +/- 0.055830 L(0 - 10) 
accR17_6 =  1.1420 +/- 0.072366 L(0 - 10) 
accR17_7 =  0.80754 +/- 0.10900 L(0 - 10) 
accR17_8 =  1.0605 +/- 0.079064 L(0 - 10) 
ftau =  0.92610 C L(-INF - +INF) 
DeltaG =  0.0000 C L(-INF - +INF) 
tau_conD =  1.6380 C L(1.5 - 1.7) 
tau_sigM =  1.5170 C L(1.5 - 1.65) 
tau_conM =  1.6380 C L(1.5 - 1.7) 
res_muD =  0.0000 C L(-0.1 - 0.1) // [ps]
res_muM =  0.0000 C L(-0.1 - 0.1) // [ps]
s17_D0 =  0.0098533 C L(-INF - +INF) 
s17_D1 =  0.49439 C L(-INF - +INF) 
s17_D2 =  9.0748 C L(-INF - +INF) 
s17_M0 =  0.0057001 +/- 0.00020163 C L(0 - 0.1) 
s17_M1 =  0.65188 +/- 0.0034896 C L(-20 - 20) 
s17_M2 =  3.9518 +/- 0.065731 C L(-20 - 20) 
