accM18_0 =  0.80232 +/- 0.013655 L(0 - 10) 
accM18_1 =  0.88846 +/- 0.015925 L(0 - 10) 
accM18_2 =  0.96137 +/- 0.010181 L(0 - 10) 
accM18_3 =  0.98827 +/- 0.017582 L(0 - 10) 
accM18_4 =  1.0000 +/- 0.048767 C L(0 - 10) 
accM18_5 =  1.0119 +/- 0.019631 L(0 - 10) 
accM18_6 =  0.99513 +/- 0.020314 L(0 - 10) 
accM18_7 =  0.97038 +/- 0.036964 L(0 - 10) 
accM18_8 =  0.99128 +/- 0.023229 L(0 - 10) 
accD18_0 =  0.80286 +/- 0.018201 L(0 - 10) 
accD18_1 =  0.89483 +/- 0.021413 L(0 - 10) 
accD18_2 =  0.96300 +/- 0.013690 L(0 - 10) 
accD18_3 =  0.98247 +/- 0.023614 L(0 - 10) 
accD18_4 =  1.0000 +/- 0.047319 C L(0 - 10) 
accD18_5 =  0.98291 +/- 0.025362 L(0 - 10) 
accD18_6 =  1.0041 +/- 0.025381 L(0 - 10) 
accD18_7 =  0.88874 +/- 0.045516 L(0 - 10) 
accD18_8 =  0.94292 +/- 0.027257 L(0 - 10) 
accR18_0 =  0.93179 +/- 0.019337 L(0 - 10) 
accR18_1 =  0.95060 +/- 0.021149 L(0 - 10) 
accR18_2 =  0.98589 +/- 0.013119 L(0 - 10) 
accR18_3 =  1.0057 +/- 0.022362 L(0 - 10) 
accR18_4 =  1.0000 +/- 0.040178 C L(0 - 10) 
accR18_5 =  0.98604 +/- 0.023642 L(0 - 10) 
accR18_6 =  1.0077 +/- 0.024119 L(0 - 10) 
accR18_7 =  0.93364 +/- 0.044711 L(0 - 10) 
accR18_8 =  1.0058 +/- 0.027097 L(0 - 10) 
ftau =  0.92610 C L(-INF - +INF) 
DeltaG =  0.0000 C L(-INF - +INF) 
tau_conD =  1.6380 C L(1.5 - 1.7) 
tau_sigM =  1.5170 C L(1.5 - 1.65) 
tau_conM =  1.6380 C L(1.5 - 1.7) 
res_muD =  0.0000 C L(-0.1 - 0.1) // [ps]
res_muM =  0.0000 C L(-0.1 - 0.1) // [ps]
s18_D0 =  0.0098533 C L(-INF - +INF) 
s18_D1 =  0.49439 C L(-INF - +INF) 
s18_D2 =  9.0748 C L(-INF - +INF) 
s18_M0 =  0.0057001 +/- 0.00020163 C L(0 - 0.1) 
s18_M1 =  0.65188 +/- 0.0034896 C L(-20 - 20) 
s18_M2 =  3.9518 +/- 0.065731 C L(-20 - 20) 
